new_product,matched_old_product,score
ทัพพีม้าลาย - ด้ามดำจีน(เล็ก)**ไม่รับคืน,กรวยเลสเล็ก (ไม่รับเปลี่ยน),0.7101742029190063
"กระชอนบดข้าวเลส #12(SKO12,9-19)",มีดKIWI197,0.775403618812561
"กระชอนบดข้าวเลส #12(SKO12,9-19)",ตะเกียบไม้ 10 คู่ #7082 IMM,0.7549599409103394
"กระชอนบดข้าวเลส #12(SKO12,9-19)",ขันด้าม020-8โดเรม่อน,0.7513928413391113
"กระบวยด้ามดำ4.5"" L604 PL",กระบวยด้ามดำ #5 (491) FW049 MIFL,0.8256735801696777
"กระบวยด้ามดำ4.5"" L604 PL",กระบวยด้ามดำ #5 (49บ) FW049 MIFL,0.8193049430847168
"กระบวยด้ามดำ4.5"" L604 PL",สีสเปรย์ดำno.4. 212,0.7938180565834045
ตะหลิวม้าลาย-กลาง(บาร์42102)**ไม่รับคืน,ตะหลิวม้าลาย - กลาง (บาร์-42102) **ไม่รับคืน/เปลี่ยน,0.8812460899353027
ตะหลิวม้าลาย-กลาง(บาร์42102)**ไม่รับคืน,"ตะหลิวม้าลาย - เล็ก #104008 ""ไม่รับคืน/เปลี่ยน""",0.7866700887680054
ตะหลิวม้าลาย-กลาง(บาร์42102)**ไม่รับคืน,ทัพพีม้าลาย - ด้ามดำจีน (เล็ก) **ไม่รับคืน/เปลี่ยน,0.7263526916503906
"ตะหลิวยาว4"" ด้ามดำ#FW-038 ม้าน้ำ","ตะหลิวยาว 4"" ด้ามดำ #FW-038 ม้าน้ำ MIFL",0.9208318591117859
"ตะหลิวยาว4"" ด้ามดำ#FW-038 ม้าน้ำ","ตะหลิวยาว 4"" ไม้ #FW-039 ม้าน้ำ MIFL",0.8633730411529541
"ตะหลิวยาว4"" ด้ามดำ#FW-038 ม้าน้ำ","กระบวยสั้น ดำ 3"" #FW-047 ม้าน้ำ MIFL",0.8329020738601685
"ตะหลิวไม้ยาว4""(บาร์11133)ตราสมอ PLL","ตะหลิว - แบล็คไลท์ - ยาว 4"" #015 (ด้ามแดง)",0.7096460461616516
"ตะหลิวไม้ยาว4""(บาร์11133)ตราสมอ PLL",ทัพพีตักข้าวยาว - คละสี R2359 KEY,0.7007014751434326
"ตะหลิวไม้ยาว4""(บาร์11133)ตราสมอ PLL",กระชอนเลสตาข่าย - ด้ามไม้ (ก้นตัด) #4170 (,0.6958837509155273
"ตะหลิวยาว4""ไม้ HFW-039 ม้าน้ำ MIFL","ตะหลิวยาว 4"" ไม้ #FW-039 ม้าน้ำ MIFL",0.9534403681755066
