ลำดับ,รายการ,จำนวน,ราคา/หน่วย,หน่วย,จำนวนเงิน,cost,ราคาขาย,Barcode
36,กล่องเหลี่ยมใหญ่ สีพลาสเทล 584N V-NICE,1 โหล,195,12,195,16,25,5.55E+12
37,ไม้ตีแมลงวัน 383 NUT (P7),2 โหล,45,12,90,4,7,1.2999E+14
38,ปิ่นโตลายไทย4ชั้น14-4 TM,3 ชิ้น,274,,822,,,
39,หม้อหู-โทรศัพท์ #18,1 โหล,995,12,995,,,
40,กระทะม้วนขอบ#33 ร่ม(ไม่รับเปลี่ยน) UM,1 โหล,693,12,693,,,
41,หม้อด้ามร่ม#16 (ไม่รับเปลี่ยน) UM,1 โหล,693,12,693,,,
42,หม้อด้ามร่ม#18 (ไม่รับเปลี่ยน) UM,1 โหล,989,12,989,,,
43,ปิ้งปูจัมโบ้ BOOM,1 โหล,465,12,465,,,
44,เหยือกลายไทย NO.1.3 TM,1 โหล,1875,12,1875,156,239,8.85953E+12
45,กระป๋องกาแฟ ปากต่อ#16 JRR,3 ชิ้น,85,,255,,,
46,แก้วหูเลส8cm(201) หัวช้าง JG,10 โหล,155,12,1550,,,
47,"วางเค้กกลาง#2 (M) VS,BOMM",2 โหล,275,12,550,,,
48,"วางเค้กใหญ่#1 (L) VS,BOMM",2 โหล,365,12,730,,,
49,"วางเค้กจัมโบ้#0 (LL) VS,BOMM",2 โหล,480,12,960,,,
50,ช้อนส้อมหัวช้าง-บาง(กล่องฟ้า) JG,3 กุรุส,535,12,1605,45,69,
51,ช้อนส้อมดอกไม้ FW016 (กล่องเขียว),3 กุรุส,680,12,2040,57,100,
52,กิ๊บหนีบเลสหัวก้ามปู14#4037 TLL,1 โหล,180,12,180,15,25,1.98803E+12
53,ถาดเหลี่ยม22*30.5cm Rilakkuma,1 โหล,194,12,194,16,25,8.8591E+12
54,ถาดเหลี่ยม HS-0110 คละสี(ขาว/ครีม/เทา),2 โหล,197,12,394,16,29,SIPS01110
55,ถาดเหลี่ยม720 สีหวาน/ลาย CK,2 โหล,197,12,394,,,
56,ถาดเหลี่ยม590 สีเนื้อ(PS) SMT,2 โหล,195,12,390,16,25,8.85104E+12
57,สำลีม้วนโจโจ้40G RJR,2 โหล,58,12,116,,,
58,ตะกร้าไต่ราว47 สีหวาน SW,1 โหล,95,12,95,8,15,9.9801E+12
59,ลิ้นชัก A4 ชั้นใส โครงสี #2011-2,4 ชิ้น,99,,396,,,
60,ขันน้ำ1115-1DN DISNEY BG,2 โหล,200,12,400,17,30,
61,ขันด้าม18ซม รีลัคคุมะ019-7 GW,1 โหล,226,12,226,19,30,8.8591E+12
62,ไก่บีบ #15821 IMM,1 โหล,168,12,168,,,
63,SB001-WHITE ช้อนชาบูด้ามยาวสีขาว FC,2 โหล,95,12,190,8,15,6.97651E+12
64,ขันน้ำ20-8 โดเรมอน สีหวาน GW,3 โหล,194,12,582,16,25,
65,ถังหิ้ว10 สี OS,1 โหล,172,12,172,14,25,50101021
66,ขันน้ำ22-8 โดเรมอน(คละสี) GW,1 โหล,199,12,199,17,25,8.8591E+12
67,ถาดกลม32ซม. เรนโบว์ T2414 TRP,2 โหล,200,12,400,17,29,20002414
68,ขันน้ำ20ซม เกรดA1113-1DN DISNEY BG,3 โหล,200,12,600,,,
69,ฟิวเจอร์บอร์ดผืนผ้า-ใหญ่ คละสี8165,1 โหล,180,12,180,,,
70,ฟิวเจอร์บอร์ดผืนผ้า-ใหญ่ สีขาวล้วน8165,1 โหล,180,12,180,,,
71,ฟิวเจอร์บอร์ดจัมโบ้-คละสี122*65 MN,1 โหล,270,12,270,,,
72,ตักลูกน้ำด้าม PVC #9 PTT,1 โหล,205,12,205,17,30,
73,ตักลูกน้ำด้าม PVC #5 PTT,1 โหล,115,12,115,10,20,8.85514E+12
74,ตักลูกน้ำด้าม PVC #4 PTT,1 โหล,100,12,100,8,15,
75,แปรงล้างขวดคู่10บ.15742 ถุงลาย IMM,1 โหล,93,12,93,8,15,8.8594E+12
76,แปรงล้างขวดคู่15740 หัวแฉก IMM,1 โหล,190,12,190,16,25,8.8594E+12
77,ริบบิ้นม้วน-ดิ้นทอง(ระฆัง)12MM(P20),3 แพค,125,10,375,13,20,
78,แปรงล้างห้อง15924 หัวกลมด้าม พอปลาย,1 แพค,98,6,98,16,25,8.8594E+12
79,กล่องเหลี่ยมใหญ่74-72 DB,1 โหล,267,12,267,22,39,
80,กล่องแซ่4402 SRT,6 ชิ้น,25,,150,0,39,8.85941E+12
81,กระจกสี่เหลี่ยมFSM1-25 วินโดว์หน้าหมี,2 โหล,78,12,156,7,15,
82,คาดผม/ผ้าคาดผม42บ. (P10),1 แพค,42,12,42,4,10,401615
83,คาดผม/ผ้าคาดผม24บ. (P5),1 แพค,24,12,24,2,5,
84,กล่องแช่เหลี่ยม4425 SRT,2 โหล,308,12,616,26,45,8.85941E+12
85,กล่องถนอมอาหาร-เหลี่ยมจิ๋ว216 W,2 โหล,87,12,174,7,15,8.85878E+12
